season,round,session,date,time
2006,1,fp1,2006-03-10,
2006,1,fp2,2006-03-10,
2006,1,fp3,2006-03-11,
2006,1,qualifying,2006-03-11,
2006,2,fp1,2006-03-17,
2006,2,fp2,2006-03-17,
2006,2,fp3,2006-03-18,
2006,2,qualifying,2006-03-18,
2006,3,fp1,2006-03-31,
2006,3,fp2,2006-03-31,
2006,3,fp3,2006-04-01,
2006,3,qualifying,2006-04-01,
2006,4,fp1,2006-04-21,
2006,4,fp2,2006-04-21,
2006,4,fp3,2006-04-22,
2006,4,qualifying,2006-04-22,
2006,5,fp1,2006-05-05,
2006,5,fp2,2006-05-05,
2006,5,fp3,2006-05-06,
2006,5,qualifying,2006-05-06,
2006,6,fp1,2006-05-12,
2006,6,fp2,2006-05-12,
2006,6,fp3,2006-05-13,
2006,6,qualifying,2006-05-13,
2006,7,fp1,2006-05-25,
2006,7,fp2,2006-05-25,
2006,7,fp3,2006-05-27,
2006,7,qualifying,2006-05-27,
2006,8,fp1,2006-06-09,
2006,8,fp2,2006-06-09,
2006,8,fp3,2006-06-10,
2006,8,qualifying,2006-06-10,
2006,9,fp1,2006-06-23,
2006,9,fp2,2006-06-23,
2006,9,fp3,2006-06-24,
2006,9,qualifying,2006-06-24,
2006,10,fp1,2006-06-30,
2006,10,fp2,2006-06-30,
2006,10,fp3,2006-07-01,
2006,10,qualifying,2006-07-01,
2006,11,fp1,2006-07-14,
2006,11,fp2,2006-07-14,
2006,11,fp3,2006-07-15,
2006,11,qualifying,2006-07-15,
2006,12,fp1,2006-07-28,
2006,12,fp2,2006-07-28,
2006,12,fp3,2006-07-29,
2006,12,qualifying,2006-07-29,
2006,13,fp1,2006-08-04,
2006,13,fp2,2006-08-04,
2006,13,fp3,2006-08-05,
2006,13,qualifying,2006-08-05,
2006,14,fp1,2006-08-25,
2006,14,fp2,2006-08-25,
2006,14,fp3,2006-08-26,
2006,14,qualifying,2006-08-26,
2006,15,fp1,2006-09-08,
2006,15,fp2,2006-09-08,
2006,15,fp3,2006-09-09,
2006,15,qualifying,2006-09-09,
2006,16,fp1,2006-09-29,
2006,16,fp2,2006-09-29,
2006,16,fp3,2006-09-30,
2006,16,qualifying,2006-09-30,
2006,17,fp1,2006-10-06,
2006,17,fp2,2006-10-06,
2006,17,fp3,2006-10-07,
2006,17,qualifying,2006-10-07,
2006,18,fp1,2006-10-20,
2006,18,fp2,2006-10-20,
2006,18,fp3,2006-10-21,
2006,18,qualifying,2006-10-21,
2007,1,fp1,2007-03-16,
2007,1,fp2,2007-03-16,
2007,1,fp3,2007-03-17,
2007,1,qualifying,2007-03-17,
2007,2,fp1,2007-04-06,
2007,2,fp2,2007-04-06,
2007,2,fp3,2007-04-07,
2007,2,qualifying,2007-04-07,
2007,3,fp1,2007-04-13,
2007,3,fp2,2007-04-13,
2007,3,fp3,2007-04-14,
2007,3,qualifying,2007-04-14,
2007,4,fp1,2007-05-11,
2007,4,fp2,2007-05-11,
2007,4,fp3,2007-05-12,
2007,4,qualifying,2007-05-12,
2007,5,fp1,2007-05-24,
2007,5,fp2,2007-05-24,
2007,5,fp3,2007-05-26,
2007,5,qualifying,2007-05-26,
2007,6,fp1,2007-06-08,
2007,6,fp2,2007-06-08,
2007,6,fp3,2007-06-09,
2007,6,qualifying,2007-06-09,
2007,7,fp1,2007-06-15,
2007,7,fp2,2007-06-15,
2007,7,fp3,2007-06-16,
2007,7,qualifying,2007-06-16,
2007,8,fp1,2007-06-29,
2007,8,fp2,2007-06-29,
2007,8,fp3,2007-06-30,
2007,8,qualifying,2007-06-30,
2007,9,fp1,2007-07-06,
2007,9,fp2,2007-07-06,
2007,9,fp3,2007-07-07,
2007,9,qualifying,2007-07-07,
2007,10,fp1,2007-07-20,
2007,10,fp2,2007-07-20,
2007,10,fp3,2007-07-21,
2007,10,qualifying,2007-07-21,
2007,11,fp1,2007-08-03,
2007,11,fp2,2007-08-03,
2007,11,fp3,2007-08-04,
2007,11,qualifying,2007-08-04,
2007,12,fp1,2007-08-24,
2007,12,fp2,2007-08-24,
2007,12,fp3,2007-08-25,
2007,12,qualifying,2007-08-25,
2007,13,fp1,2007-09-07,
2007,13,fp2,2007-09-07,
2007,13,fp3,2007-09-08,
2007,13,qualifying,2007-09-08,
2007,14,fp1,2007-09-14,
2007,14,fp2,2007-09-14,
2007,14,fp3,2007-09-15,
2007,14,qualifying,2007-09-15,
2007,15,fp1,2007-09-28,
2007,15,fp2,2007-09-28,
2007,15,fp3,2007-09-29,
2007,15,qualifying,2007-09-29,
2007,16,fp1,2007-10-05,
2007,16,fp2,2007-10-05,
2007,16,fp3,2007-10-06,
2007,16,qualifying,2007-10-06,
2007,17,fp1,2007-10-19,
2007,17,fp2,2007-10-19,
2007,17,fp3,2007-10-20,
2007,17,qualifying,2007-10-20,
2008,1,fp1,2008-03-14,
2008,1,fp2,2008-03-14,
2008,1,fp3,2008-03-15,
2008,1,qualifying,2008-03-15,
2008,2,fp1,2008-03-21,
2008,2,fp2,2008-03-21,
2008,2,fp3,2008-03-22,
2008,2,qualifying,2008-03-22,
2008,3,fp1,2008-04-04,
2008,3,fp2,2008-04-04,
2008,3,fp3,2008-04-05,
2008,3,qualifying,2008-04-05,
2008,4,fp1,2008-04-25,
2008,4,fp2,2008-04-25,
2008,4,fp3,2008-04-26,
2008,4,qualifying,2008-04-26,
2008,5,fp1,2008-05-09,
2008,5,fp2,2008-05-09,
2008,5,fp3,2008-05-10,
2008,5,qualifying,2008-05-10,
2008,6,fp1,2008-05-22,
2008,6,fp2,2008-05-22,
2008,6,fp3,2008-05-24,
2008,6,qualifying,2008-05-24,
2008,7,fp1,2008-06-06,
2008,7,fp2,2008-06-06,
2008,7,fp3,2008-06-07,
2008,7,qualifying,2008-06-07,
2008,8,fp1,2008-06-20,
2008,8,fp2,2008-06-20,
2008,8,fp3,2008-06-21,
2008,8,qualifying,2008-06-21,
2008,9,fp1,2008-07-04,
2008,9,fp2,2008-07-04,
2008,9,fp3,2008-07-05,
2008,9,qualifying,2008-07-05,
2008,10,fp1,2008-07-18,
2008,10,fp2,2008-07-18,
2008,10,fp3,2008-07-19,
2008,10,qualifying,2008-07-19,
2008,11,fp1,2008-08-01,
2008,11,fp2,2008-08-01,
2008,11,fp3,2008-08-02,
2008,11,qualifying,2008-08-02,
2008,12,fp1,2008-08-22,
2008,12,fp2,2008-08-22,
2008,12,fp3,2008-08-23,
2008,12,qualifying,2008-08-23,
2008,13,fp1,2008-09-05,
2008,13,fp2,2008-09-05,
2008,13,fp3,2008-09-06,
2008,13,qualifying,2008-09-06,
2008,14,fp1,2008-09-12,
2008,14,fp2,2008-09-12,
2008,14,fp3,2008-09-13,
2008,14,qualifying,2008-09-13,
2008,15,fp1,2008-09-26,
2008,15,fp2,2008-09-26,
2008,15,fp3,2008-09-27,
2008,15,qualifying,2008-09-27,
2008,16,fp1,2008-10-10,
2008,16,fp2,2008-10-10,
2008,16,fp3,2008-10-11,
2008,16,qualifying,2008-10-11,
2008,17,fp1,2008-10-17,
2008,17,fp2,2008-10-17,
2008,17,fp3,2008-10-18,
2008,17,qualifying,2008-10-18,
2008,18,fp1,2008-10-31,
2008,18,fp2,2008-10-31,
2008,18,fp3,2008-11-01,
2008,18,qualifying,2008-11-01,
2009,1,fp1,2009-03-27,
2009,1,fp2,2009-03-27,
2009,1,fp3,2009-03-28,
2009,1,qualifying,2009-03-28,
2009,2,fp1,2009-04-03,
2009,2,fp2,2009-04-03,
2009,2,fp3,2009-04-04,
2009,2,qualifying,2009-04-04,
2009,3,fp1,2009-04-17,
2009,3,fp2,2009-04-17,
2009,3,fp3,2009-04-18,
2009,3,qualifying,2009-04-18,
2009,4,fp1,2009-04-24,
2009,4,fp2,2009-04-24,
2009,4,fp3,2009-04-25,
2009,4,qualifying,2009-04-25,
2009,5,fp1,2009-05-08,
2009,5,fp2,2009-05-08,
2009,5,fp3,2009-05-09,
2009,5,qualifying,2009-05-09,
2009,6,fp1,2009-05-21,
2009,6,fp2,2009-05-21,
2009,6,fp3,2009-05-23,
2009,6,qualifying,2009-05-23,
2009,7,fp1,2009-06-05,
2009,7,fp2,2009-06-05,
2009,7,fp3,2009-06-06,
2009,7,qualifying,2009-06-06,
2009,8,fp1,2009-06-19,
2009,8,fp2,2009-06-19,
2009,8,fp3,2009-06-20,
2009,8,qualifying,2009-06-20,
2009,9,fp1,2009-07-10,
2009,9,fp2,2009-07-10,
2009,9,fp3,2009-07-11,
2009,9,qualifying,2009-07-11,
2009,10,fp1,2009-07-24,
2009,10,fp2,2009-07-24,
2009,10,fp3,2009-07-25,
2009,10,qualifying,2009-07-25,
2009,11,fp1,2009-08-21,
2009,11,fp2,2009-08-21,
2009,11,fp3,2009-08-22,
2009,11,qualifying,2009-08-22,
2009,12,fp1,2009-08-28,
2009,12,fp2,2009-08-28,
2009,12,fp3,2009-08-29,
2009,12,qualifying,2009-08-29,
2009,13,fp1,2009-09-11,
2009,13,fp2,2009-09-11,
2009,13,fp3,2009-09-12,
2009,13,qualifying,2009-09-12,
2009,14,fp1,2009-09-25,
2009,14,fp2,2009-09-25,
2009,14,fp3,2009-09-26,
2009,14,qualifying,2009-09-26,
2009,15,fp1,2009-10-02,
2009,15,fp2,2009-10-02,
2009,15,fp3,2009-10-03,
2009,15,qualifying,2009-10-03,
2009,16,fp1,2009-10-16,
2009,16,fp2,2009-10-16,
2009,16,fp3,2009-10-17,
2009,16,qualifying,2009-10-17,
2009,17,fp1,2009-10-30,
2009,17,fp2,2009-10-30,
2009,17,fp3,2009-10-31,
2009,17,qualifying,2009-10-31,
2010,1,fp1,2010-03-12,
2010,1,fp2,2010-03-12,
2010,1,fp3,2010-03-13,
2010,1,qualifying,2010-03-13,
2010,2,fp1,2010-03-26,
2010,2,fp2,2010-03-26,
2010,2,fp3,2010-03-27,
2010,2,qualifying,2010-03-27,
2010,3,fp1,2010-04-02,
2010,3,fp2,2010-04-02,
2010,3,fp3,2010-04-03,
2010,3,qualifying,2010-04-03,
2010,4,fp1,2010-04-16,
2010,4,fp2,2010-04-16,
2010,4,fp3,2010-04-17,
2010,4,qualifying,2010-04-17,
2010,5,fp1,2010-05-07,
2010,5,fp2,2010-05-07,
2010,5,fp3,2010-05-08,
2010,5,qualifying,2010-05-08,
2010,6,fp1,2010-05-13,
2010,6,fp2,2010-05-13,
2010,6,fp3,2010-05-15,
2010,6,qualifying,2010-05-15,
2010,7,fp1,2010-05-28,
2010,7,fp2,2010-05-28,
2010,7,fp3,2010-05-29,
2010,7,qualifying,2010-05-29,
2010,8,fp1,2010-06-11,
2010,8,fp2,2010-06-11,
2010,8,fp3,2010-06-12,
2010,8,qualifying,2010-06-12,
2010,9,fp1,2010-06-25,
2010,9,fp2,2010-06-25,
2010,9,fp3,2010-06-26,
2010,9,qualifying,2010-06-26,
2010,10,fp1,2010-07-09,
2010,10,fp2,2010-07-09,
2010,10,fp3,2010-07-10,
2010,10,qualifying,2010-07-10,
2010,11,fp1,2010-07-23,
2010,11,fp2,2010-07-23,
2010,11,fp3,2010-07-24,
2010,11,qualifying,2010-07-24,
2010,12,fp1,2010-07-30,
2010,12,fp2,2010-07-30,
2010,12,fp3,2010-07-31,
2010,12,qualifying,2010-07-31,
2010,13,fp1,2010-08-27,
2010,13,fp2,2010-08-27,
2010,13,fp3,2010-08-28,
2010,13,qualifying,2010-08-28,
2010,14,fp1,2010-09-10,
2010,14,fp2,2010-09-10,
2010,14,fp3,2010-09-11,
2010,14,qualifying,2010-09-11,
2010,15,fp1,2010-09-24,
2010,15,fp2,2010-09-24,
2010,15,fp3,2010-09-25,
2010,15,qualifying,2010-09-25,
2010,16,fp1,2010-10-08,
2010,16,fp2,2010-10-08,
2010,16,fp3,2010-10-09,
2010,16,qualifying,2010-10-09,
2010,17,fp1,2010-10-22,
2010,17,fp2,2010-10-22,
2010,17,fp3,2010-10-23,
2010,17,qualifying,2010-10-23,
2010,18,fp1,2010-11-05,
2010,18,fp2,2010-11-05,
2010,18,fp3,2010-11-06,
2010,18,qualifying,2010-11-06,
2010,19,fp1,2010-11-12,
2010,19,fp2,2010-11-12,
2010,19,fp3,2010-11-13,
2010,19,qualifying,2010-11-13,
2011,1,fp1,2011-03-25,
2011,1,fp2,2011-03-25,
2011,1,fp3,2011-03-26,
2011,1,qualifying,2011-03-26,
2011,2,fp1,2011-04-08,
2011,2,fp2,2011-04-08,
2011,2,fp3,2011-04-09,
2011,2,qualifying,2011-04-09,
2011,3,fp1,2011-04-15,
2011,3,fp2,2011-04-15,
2011,3,fp3,2011-04-16,
2011,3,qualifying,2011-04-16,
2011,4,fp1,2011-05-06,
2011,4,fp2,2011-05-06,
2011,4,fp3,2011-05-07,
2011,4,qualifying,2011-05-07,
2011,5,fp1,2011-05-20,
2011,5,fp2,2011-05-20,
2011,5,fp3,2011-05-21,
2011,5,qualifying,2011-05-21,
2011,6,fp1,2011-05-26,
2011,6,fp2,2011-05-26,
2011,6,fp3,2011-05-28,
2011,6,qualifying,2011-05-28,
2011,7,fp1,2011-06-10,
2011,7,fp2,2011-06-10,
2011,7,fp3,2011-06-11,
2011,7,qualifying,2011-06-11,
2011,8,fp1,2011-06-24,
2011,8,fp2,2011-06-24,
2011,8,fp3,2011-06-25,
2011,8,qualifying,2011-06-25,
2011,9,fp1,2011-07-08,
2011,9,fp2,2011-07-08,
2011,9,fp3,2011-07-09,
2011,9,qualifying,2011-07-09,
2011,10,fp1,2011-07-22,
2011,10,fp2,2011-07-22,
2011,10,fp3,2011-07-23,
2011,10,qualifying,2011-07-23,
2011,11,fp1,2011-07-29,
2011,11,fp2,2011-07-29,
2011,11,fp3,2011-07-30,
2011,11,qualifying,2011-07-30,
2011,12,fp1,2011-08-26,
2011,12,fp2,2011-08-26,
2011,12,fp3,2011-08-27,
2011,12,qualifying,2011-08-27,
2011,13,fp1,2011-09-09,
2011,13,fp2,2011-09-09,
2011,13,fp3,2011-09-10,
2011,13,qualifying,2011-09-10,
2011,14,fp1,2011-09-23,
2011,14,fp2,2011-09-23,
2011,14,fp3,2011-09-24,
2011,14,qualifying,2011-09-24,
2011,15,fp1,2011-10-07,
2011,15,fp2,2011-10-07,
2011,15,fp3,2011-10-08,
2011,15,qualifying,2011-10-08,
2011,16,fp1,2011-10-14,
2011,16,fp2,2011-10-14,
2011,16,fp3,2011-10-15,
2011,16,qualifying,2011-10-15,
2011,17,fp1,2011-10-28,
2011,17,fp2,2011-10-28,
2011,17,fp3,2011-10-29,
2011,17,qualifying,2011-10-29,
2011,18,fp1,2011-11-11,
2011,18,fp2,2011-11-11,
2011,18,fp3,2011-11-12,
2011,18,qualifying,2011-11-12,
2011,19,fp1,2011-11-25,
2011,19,fp2,2011-11-25,
2011,19,fp3,2011-11-26,
2011,19,qualifying,2011-11-26,
2012,1,fp1,2012-03-16,
2012,1,fp2,2012-03-16,
2012,1,fp3,2012-03-17,
2012,1,qualifying,2012-03-17,
2012,2,fp1,2012-03-23,
2012,2,fp2,2012-03-23,
2012,2,fp3,2012-03-24,
2012,2,qualifying,2012-03-24,
2012,3,fp1,2012-04-13,
2012,3,fp2,2012-04-13,
2012,3,fp3,2012-04-14,
2012,3,qualifying,2012-04-14,
2012,4,fp1,2012-04-20,
2012,4,fp2,2012-04-20,
2012,4,fp3,2012-04-21,
2012,4,qualifying,2012-04-21,
2012,5,fp1,2012-05-11,
2012,5,fp2,2012-05-11,
2012,5,fp3,2012-05-12,
2012,5,qualifying,2012-05-12,
2012,6,fp1,2012-05-24,
2012,6,fp2,2012-05-24,
2012,6,fp3,2012-05-26,
2012,6,qualifying,2012-05-26,
2012,7,fp1,2012-06-08,
2012,7,fp2,2012-06-08,
2012,7,fp3,2012-06-09,
2012,7,qualifying,2012-06-09,
2012,8,fp1,2012-06-22,
2012,8,fp2,2012-06-22,
2012,8,fp3,2012-06-23,
2012,8,qualifying,2012-06-23,
2012,9,fp1,2012-07-06,
2012,9,fp2,2012-07-06,
2012,9,fp3,2012-07-07,
2012,9,qualifying,2012-07-07,
2012,10,fp1,2012-07-20,
2012,10,fp2,2012-07-20,
2012,10,fp3,2012-07-21,
2012,10,qualifying,2012-07-21,
2012,11,fp1,2012-07-27,
2012,11,fp2,2012-07-27,
2012,11,fp3,2012-07-28,
2012,11,qualifying,2012-07-28,
2012,12,fp1,2012-08-31,
2012,12,fp2,2012-08-31,
2012,12,fp3,2012-09-01,
2012,12,qualifying,2012-09-01,
2012,13,fp1,2012-09-07,
2012,13,fp2,2012-09-07,
2012,13,fp3,2012-09-08,
2012,13,qualifying,2012-09-08,
2012,14,fp1,2012-09-21,
2012,14,fp2,2012-09-21,
2012,14,fp3,2012-09-22,
2012,14,qualifying,2012-09-22,
2012,15,fp1,2012-10-05,
2012,15,fp2,2012-10-05,
2012,15,fp3,2012-10-06,
2012,15,qualifying,2012-10-06,
2012,16,fp1,2012-10-12,
2012,16,fp2,2012-10-12,
2012,16,fp3,2012-10-13,
2012,16,qualifying,2012-10-13,
2012,17,fp1,2012-10-26,
2012,17,fp2,2012-10-26,
2012,17,fp3,2012-10-27,
2012,17,qualifying,2012-10-27,
2012,18,fp1,2012-11-02,
2012,18,fp2,2012-11-02,
2012,18,fp3,2012-11-03,
2012,18,qualifying,2012-11-03,
2012,19,fp1,2012-11-16,
2012,19,fp2,2012-11-16,
2012,19,fp3,2012-11-17,
2012,19,qualifying,2012-11-17,
2012,20,fp1,2012-11-23,
2012,20,fp2,2012-11-23,
2012,20,fp3,2012-11-24,
2012,20,qualifying,2012-11-24,
2013,1,fp1,2013-03-15,
2013,1,fp2,2013-03-15,
2013,1,fp3,2013-03-16,
2013,1,qualifying,2013-03-16,
2013,2,fp1,2013-03-22,
2013,2,fp2,2013-03-22,
2013,2,fp3,2013-03-23,
2013,2,qualifying,2013-03-23,
2013,3,fp1,2013-04-12,
2013,3,fp2,2013-04-12,
2013,3,fp3,2013-04-13,
2013,3,qualifying,2013-04-13,
2013,4,fp1,2013-04-19,
2013,4,fp2,2013-04-19,
2013,4,fp3,2013-04-20,
2013,4,qualifying,2013-04-20,
2013,5,fp1,2013-05-10,
2013,5,fp2,2013-05-10,
2013,5,fp3,2013-05-11,
2013,5,qualifying,2013-05-11,
2013,6,fp1,2013-05-23,
2013,6,fp2,2013-05-23,
2013,6,fp3,2013-05-25,
2013,6,qualifying,2013-05-25,
2013,7,fp1,2013-06-07,
2013,7,fp2,2013-06-07,
2013,7,fp3,2013-06-08,
2013,7,qualifying,2013-06-08,
2013,8,fp1,2013-06-28,
2013,8,fp2,2013-06-28,
2013,8,fp3,2013-06-29,
2013,8,qualifying,2013-06-29,
2013,9,fp1,2013-07-05,
2013,9,fp2,2013-07-05,
2013,9,fp3,2013-07-06,
2013,9,qualifying,2013-07-06,
2013,10,fp1,2013-07-26,
2013,10,fp2,2013-07-26,
2013,10,fp3,2013-07-27,
2013,10,qualifying,2013-07-27,
2013,11,fp1,2013-08-23,
2013,11,fp2,2013-08-23,
2013,11,fp3,2013-08-24,
2013,11,qualifying,2013-08-24,
2013,12,fp1,2013-09-06,
2013,12,fp2,2013-09-06,
2013,12,fp3,2013-09-07,
2013,12,qualifying,2013-09-07,
2013,13,fp1,2013-09-20,
2013,13,fp2,2013-09-20,
2013,13,fp3,2013-09-21,
2013,13,qualifying,2013-09-21,
2013,14,fp1,2013-10-04,
2013,14,fp2,2013-10-04,
2013,14,fp3,2013-10-05,
2013,14,qualifying,2013-10-05,
2013,15,fp1,2013-10-11,
2013,15,fp2,2013-10-11,
2013,15,fp3,2013-10-12,
2013,15,qualifying,2013-10-12,
2013,16,fp1,2013-10-25,
2013,16,fp2,2013-10-25,
2013,16,fp3,2013-10-26,
2013,16,qualifying,2013-10-26,
2013,17,fp1,2013-11-01,
2013,17,fp2,2013-11-01,
2013,17,fp3,2013-11-02,
2013,17,qualifying,2013-11-02,
2013,18,fp1,2013-11-15,
2013,18,fp2,2013-11-15,
2013,18,fp3,2013-11-16,
2013,18,qualifying,2013-11-16,
2013,19,fp1,2013-11-22,
2013,19,fp2,2013-11-22,
2013,19,fp3,2013-11-23,
2013,19,qualifying,2013-11-23,
2014,1,fp1,2014-03-14,
2014,1,fp2,2014-03-14,
2014,1,fp3,2014-03-15,
2014,1,qualifying,2014-03-15,
2014,2,fp1,2014-03-28,
2014,2,fp2,2014-03-28,
2014,2,fp3,2014-03-29,
2014,2,qualifying,2014-03-29,
2014,3,fp1,2014-04-04,
2014,3,fp2,2014-04-04,
2014,3,fp3,2014-04-05,
2014,3,qualifying,2014-04-05,
2014,4,fp1,2014-04-18,
2014,4,fp2,2014-04-18,
2014,4,fp3,2014-04-19,
2014,4,qualifying,2014-04-19,
2014,5,fp1,2014-05-09,
2014,5,fp2,2014-05-09,
2014,5,fp3,2014-05-10,
2014,5,qualifying,2014-05-10,
2014,6,fp1,2014-05-22,
2014,6,fp2,2014-05-22,
2014,6,fp3,2014-05-24,
2014,6,qualifying,2014-05-24,
2014,7,fp1,2014-06-06,
2014,7,fp2,2014-06-06,
2014,7,fp3,2014-06-07,
2014,7,qualifying,2014-06-07,
2014,8,fp1,2014-06-20,
2014,8,fp2,2014-06-20,
2014,8,fp3,2014-06-21,
2014,8,qualifying,2014-06-21,
2014,9,fp1,2014-07-04,
2014,9,fp2,2014-07-04,
2014,9,fp3,2014-07-05,
2014,9,qualifying,2014-07-05,
2014,10,fp1,2014-07-18,
2014,10,fp2,2014-07-18,
2014,10,fp3,2014-07-19,
2014,10,qualifying,2014-07-19,
2014,11,fp1,2014-07-25,
2014,11,fp2,2014-07-25,
2014,11,fp3,2014-07-26,
2014,11,qualifying,2014-07-26,
2014,12,fp1,2014-08-22,
2014,12,fp2,2014-08-22,
2014,12,fp3,2014-08-23,
2014,12,qualifying,2014-08-23,
2014,13,fp1,2014-09-05,
2014,13,fp2,2014-09-05,
2014,13,fp3,2014-09-06,
2014,13,qualifying,2014-09-06,
2014,14,fp1,2014-09-19,
2014,14,fp2,2014-09-19,
2014,14,fp3,2014-09-20,
2014,14,qualifying,2014-09-20,
2014,15,fp1,2014-10-03,
2014,15,fp2,2014-10-03,
2014,15,fp3,2014-10-04,
2014,15,qualifying,2014-10-04,
2014,16,fp1,2014-10-10,
2014,16,fp2,2014-10-10,
2014,16,fp3,2014-10-11,
2014,16,qualifying,2014-10-11,
2014,17,fp1,2014-10-31,
2014,17,fp2,2014-10-31,
2014,17,fp3,2014-11-01,
2014,17,qualifying,2014-11-01,
2014,18,fp1,2014-11-07,
2014,18,fp2,2014-11-07,
2014,18,fp3,2014-11-08,
2014,18,qualifying,2014-11-08,
2014,19,fp1,2014-11-21,
2014,19,fp2,2014-11-21,
2014,19,fp3,2014-11-22,
2014,19,qualifying,2014-11-22,
2015,1,fp1,2015-03-13,
2015,1,fp2,2015-03-13,
2015,1,fp3,2015-03-14,
2015,1,qualifying,2015-03-14,
2015,2,fp1,2015-03-27,
2015,2,fp2,2015-03-27,
2015,2,fp3,2015-03-28,
2015,2,qualifying,2015-03-28,
2015,3,fp1,2015-04-10,
2015,3,fp2,2015-04-10,
2015,3,fp3,2015-04-11,
2015,3,qualifying,2015-04-11,
2015,4,fp1,2015-04-17,
2015,4,fp2,2015-04-17,
2015,4,fp3,2015-04-18,
2015,4,qualifying,2015-04-18,
2015,5,fp1,2015-05-08,
2015,5,fp2,2015-05-08,
2015,5,fp3,2015-05-09,
2015,5,qualifying,2015-05-09,
2015,6,fp1,2015-05-21,
2015,6,fp2,2015-05-21,
2015,6,fp3,2015-05-23,
2015,6,qualifying,2015-05-23,
2015,7,fp1,2015-06-05,
2015,7,fp2,2015-06-05,
2015,7,fp3,2015-06-06,
2015,7,qualifying,2015-06-06,
2015,8,fp1,2015-06-19,
2015,8,fp2,2015-06-19,
2015,8,fp3,2015-06-20,
2015,8,qualifying,2015-06-20,
2015,9,fp1,2015-07-03,
2015,9,fp2,2015-07-03,
2015,9,fp3,2015-07-04,
2015,9,qualifying,2015-07-04,
2015,10,fp1,2015-07-24,
2015,10,fp2,2015-07-24,
2015,10,fp3,2015-07-25,
2015,10,qualifying,2015-07-25,
2015,11,fp1,2015-08-21,
2015,11,fp2,2015-08-21,
2015,11,fp3,2015-08-22,
2015,11,qualifying,2015-08-22,
2015,12,fp1,2015-09-04,
2015,12,fp2,2015-09-04,
2015,12,fp3,2015-09-05,
2015,12,qualifying,2015-09-05,
2015,13,fp1,2015-09-18,
2015,13,fp2,2015-09-18,
2015,13,fp3,2015-09-19,
2015,13,qualifying,2015-09-19,
2015,14,fp1,2015-09-25,
2015,14,fp2,2015-09-25,
2015,14,fp3,2015-09-26,
2015,14,qualifying,2015-09-26,
2015,15,fp1,2015-10-09,
2015,15,fp2,2015-10-09,
2015,15,fp3,2015-10-10,
2015,15,qualifying,2015-10-10,
2015,16,fp1,2015-10-23,
2015,16,fp2,2015-10-23,
2015,16,fp3,2015-10-24,
2015,16,qualifying,2015-10-24,
2015,17,fp1,2015-10-30,
2015,17,fp2,2015-10-30,
2015,17,fp3,2015-10-31,
2015,17,qualifying,2015-10-31,
2015,18,fp1,2015-11-13,
2015,18,fp2,2015-11-13,
2015,18,fp3,2015-11-14,
2015,18,qualifying,2015-11-14,
2015,19,fp1,2015-11-27,
2015,19,fp2,2015-11-27,
2015,19,fp3,2015-11-28,
2015,19,qualifying,2015-11-28,
2016,1,fp1,2016-03-18,
2016,1,fp2,2016-03-18,
2016,1,fp3,2016-03-19,
2016,1,qualifying,2016-03-19,
2016,2,fp1,2016-04-01,
2016,2,fp2,2016-04-01,
2016,2,fp3,2016-04-02,
2016,2,qualifying,2016-04-02,
2016,3,fp1,2016-04-15,
2016,3,fp2,2016-04-15,
2016,3,fp3,2016-04-16,
2016,3,qualifying,2016-04-16,
2016,4,fp1,2016-04-29,
2016,4,fp2,2016-04-29,
2016,4,fp3,2016-04-30,
2016,4,qualifying,2016-04-30,
2016,5,fp1,2016-05-13,
2016,5,fp2,2016-05-13,
2016,5,fp3,2016-05-14,
2016,5,qualifying,2016-05-14,
2016,6,fp1,2016-05-26,
2016,6,fp2,2016-05-26,
2016,6,fp3,2016-05-28,
2016,6,qualifying,2016-05-28,
2016,7,fp1,2016-06-10,
2016,7,fp2,2016-06-10,
2016,7,fp3,2016-06-11,
2016,7,qualifying,2016-06-11,
2016,8,fp1,2016-06-17,
2016,8,fp2,2016-06-17,
2016,8,fp3,2016-06-18,
2016,8,qualifying,2016-06-18,
2016,9,fp1,2016-07-01,
2016,9,fp2,2016-07-01,
2016,9,fp3,2016-07-02,
2016,9,qualifying,2016-07-02,
2016,10,fp1,2016-07-08,
2016,10,fp2,2016-07-08,
2016,10,fp3,2016-07-09,
2016,10,qualifying,2016-07-09,
2016,11,fp1,2016-07-22,
2016,11,fp2,2016-07-22,
2016,11,fp3,2016-07-23,
2016,11,qualifying,2016-07-23,
2016,12,fp1,2016-07-29,
2016,12,fp2,2016-07-29,
2016,12,fp3,2016-07-30,
2016,12,qualifying,2016-07-30,
2016,13,fp1,2016-08-26,
2016,13,fp2,2016-08-26,
2016,13,fp3,2016-08-27,
2016,13,qualifying,2016-08-27,
2016,14,fp1,2016-09-02,
2016,14,fp2,2016-09-02,
2016,14,fp3,2016-09-03,
2016,14,qualifying,2016-09-03,
2016,15,fp1,2016-09-16,
2016,15,fp2,2016-09-16,
2016,15,fp3,2016-09-17,
2016,15,qualifying,2016-09-17,
2016,16,fp1,2016-09-30,
2016,16,fp2,2016-09-30,
2016,16,fp3,2016-10-01,
2016,16,qualifying,2016-10-01,
2016,17,fp1,2016-10-07,
2016,17,fp2,2016-10-07,
2016,17,fp3,2016-10-08,
2016,17,qualifying,2016-10-08,
2016,18,fp1,2016-10-21,
2016,18,fp2,2016-10-21,
2016,18,fp3,2016-10-22,
